# library	entry_point	managed_return	abi_return
steam_api	SteamAPI_ISteamInventory_CheckResultSteamID	bool	u64
steam_api	SteamAPI_ISteamInventory_ConsumeItem	bool	u64
steam_api	SteamAPI_ISteamInventory_DeserializeResult	bool	u64
steam_api	SteamAPI_ISteamInventory_DestroyResult	void	void
steam_api	SteamAPI_ISteamInventory_ExchangeItems	bool	u64
steam_api	SteamAPI_ISteamInventory_GenerateItems	bool	u64
steam_api	SteamAPI_ISteamInventory_GetAllItems	bool	u64
steam_api	SteamAPI_ISteamInventory_GetEligiblePromoItemDefinitionIDs	bool	u64
steam_api	SteamAPI_ISteamInventory_GetItemDefinitionIDs	bool	u64
steam_api	SteamAPI_ISteamInventory_GetItemDefinitionProperty	bool	u64
steam_api	SteamAPI_ISteamInventory_GetItemPrice	bool	u64
steam_api	SteamAPI_ISteamInventory_GetItemsByID	bool	u64
steam_api	SteamAPI_ISteamInventory_GetItemsWithPrices	bool	u64
steam_api	SteamAPI_ISteamInventory_GetNumItemsWithPrices	uint	u64
steam_api	SteamAPI_ISteamInventory_GetResultItemProperty	bool	u64
steam_api	SteamAPI_ISteamInventory_GetResultItems	bool	u64
steam_api	SteamAPI_ISteamInventory_GetResultStatus	EResult	u64
steam_api	SteamAPI_ISteamInventory_GetResultTimestamp	uint	u64
steam_api	SteamAPI_ISteamInventory_GrantPromoItems	bool	u64
steam_api	SteamAPI_ISteamInventory_InspectItem	bool	u64
steam_api	SteamAPI_ISteamInventory_LoadItemDefinitions	bool	u64
steam_api	SteamAPI_ISteamInventory_RemoveProperty	bool	u64
steam_api	SteamAPI_ISteamInventory_RequestEligiblePromoItemDefinitionsIDs	ulong	u64
steam_api	SteamAPI_ISteamInventory_RequestPrices	ulong	u64
steam_api	SteamAPI_ISteamInventory_SendItemDropHeartbeat	void	void
steam_api	SteamAPI_ISteamInventory_SerializeResult	bool	u64
steam_api	SteamAPI_ISteamInventory_SetPropertyBool	bool	u64
steam_api	SteamAPI_ISteamInventory_SetPropertyFloat	bool	u64
steam_api	SteamAPI_ISteamInventory_SetPropertyInt64	bool	u64
steam_api	SteamAPI_ISteamInventory_SetPropertyString	bool	u64
steam_api	SteamAPI_ISteamInventory_StartPurchase	ulong	u64
steam_api	SteamAPI_ISteamInventory_StartUpdateProperties	ulong	u64
steam_api	SteamAPI_ISteamInventory_SubmitUpdateProperties	bool	u64
steam_api	SteamAPI_ISteamInventory_TradeItems	bool	u64
steam_api	SteamAPI_ISteamInventory_TransferItemQuantity	bool	u64
steam_api	SteamAPI_ISteamInventory_TriggerItemDrop	bool	u64
steam_api	SteamAPI_ISteamMatchmakingServers_CancelQuery	void	void
steam_api	SteamAPI_ISteamMatchmakingServers_CancelServerQuery	void	void
steam_api	SteamAPI_ISteamMatchmakingServers_GetServerCount	int	u64
steam_api	SteamAPI_ISteamMatchmakingServers_GetServerDetails	IntPtr	u64
steam_api	SteamAPI_ISteamMatchmakingServers_IsRefreshing	bool	u64
steam_api	SteamAPI_ISteamMatchmakingServers_PingServer	int	u64
steam_api	SteamAPI_ISteamMatchmakingServers_PlayerDetails	int	u64
steam_api	SteamAPI_ISteamMatchmakingServers_RefreshQuery	void	void
steam_api	SteamAPI_ISteamMatchmakingServers_RefreshServer	void	void
steam_api	SteamAPI_ISteamMatchmakingServers_ReleaseRequest	void	void
steam_api	SteamAPI_ISteamMatchmakingServers_RequestFavoritesServerList	IntPtr	u64
steam_api	SteamAPI_ISteamMatchmakingServers_RequestFriendsServerList	IntPtr	u64
steam_api	SteamAPI_ISteamMatchmakingServers_RequestHistoryServerList	IntPtr	u64
steam_api	SteamAPI_ISteamMatchmakingServers_RequestInternetServerList	IntPtr	u64
steam_api	SteamAPI_ISteamMatchmakingServers_RequestLANServerList	IntPtr	u64
steam_api	SteamAPI_ISteamMatchmakingServers_RequestSpectatorServerList	IntPtr	u64
steam_api	SteamAPI_ISteamMatchmakingServers_ServerRules	int	u64
steam_api	SteamAPI_ISteamMatchmaking_AddFavoriteGame	int	u64
steam_api	SteamAPI_ISteamMatchmaking_AddRequestLobbyListCompatibleMembersFilter	void	void
steam_api	SteamAPI_ISteamMatchmaking_AddRequestLobbyListDistanceFilter	void	void
steam_api	SteamAPI_ISteamMatchmaking_AddRequestLobbyListFilterSlotsAvailable	void	void
steam_api	SteamAPI_ISteamMatchmaking_AddRequestLobbyListNearValueFilter	void	void
steam_api	SteamAPI_ISteamMatchmaking_AddRequestLobbyListNumericalFilter	void	void
steam_api	SteamAPI_ISteamMatchmaking_AddRequestLobbyListResultCountFilter	void	void
steam_api	SteamAPI_ISteamMatchmaking_AddRequestLobbyListStringFilter	void	void
steam_api	SteamAPI_ISteamMatchmaking_CreateLobby	ulong	u64
steam_api	SteamAPI_ISteamMatchmaking_DeleteLobbyData	bool	u64
steam_api	SteamAPI_ISteamMatchmaking_GetFavoriteGame	bool	u64
steam_api	SteamAPI_ISteamMatchmaking_GetFavoriteGameCount	int	u64
steam_api	SteamAPI_ISteamMatchmaking_GetLobbyByIndex	ulong	u64
steam_api	SteamAPI_ISteamMatchmaking_GetLobbyChatEntry	int	u64
steam_api	SteamAPI_ISteamMatchmaking_GetLobbyData	IntPtr	u64
steam_api	SteamAPI_ISteamMatchmaking_GetLobbyDataByIndex	bool	u64
steam_api	SteamAPI_ISteamMatchmaking_GetLobbyDataCount	int	u64
steam_api	SteamAPI_ISteamMatchmaking_GetLobbyGameServer	bool	u64
steam_api	SteamAPI_ISteamMatchmaking_GetLobbyMemberByIndex	ulong	u64
steam_api	SteamAPI_ISteamMatchmaking_GetLobbyMemberData	IntPtr	u64
steam_api	SteamAPI_ISteamMatchmaking_GetLobbyMemberLimit	int	u64
steam_api	SteamAPI_ISteamMatchmaking_GetLobbyOwner	ulong	u64
steam_api	SteamAPI_ISteamMatchmaking_GetNumLobbyMembers	int	u64
steam_api	SteamAPI_ISteamMatchmaking_InviteUserToLobby	bool	u64
steam_api	SteamAPI_ISteamMatchmaking_JoinLobby	ulong	u64
steam_api	SteamAPI_ISteamMatchmaking_LeaveLobby	void	void
steam_api	SteamAPI_ISteamMatchmaking_RemoveFavoriteGame	bool	u64
steam_api	SteamAPI_ISteamMatchmaking_RequestLobbyData	bool	u64
steam_api	SteamAPI_ISteamMatchmaking_RequestLobbyList	ulong	u64
steam_api	SteamAPI_ISteamMatchmaking_SendLobbyChatMsg	bool	u64
steam_api	SteamAPI_ISteamMatchmaking_SetLinkedLobby	bool	u64
steam_api	SteamAPI_ISteamMatchmaking_SetLobbyData	bool	u64
steam_api	SteamAPI_ISteamMatchmaking_SetLobbyGameServer	void	void
steam_api	SteamAPI_ISteamMatchmaking_SetLobbyJoinable	bool	u64
steam_api	SteamAPI_ISteamMatchmaking_SetLobbyMemberData	void	void
steam_api	SteamAPI_ISteamMatchmaking_SetLobbyMemberLimit	bool	u64
steam_api	SteamAPI_ISteamMatchmaking_SetLobbyOwner	bool	u64
steam_api	SteamAPI_ISteamMatchmaking_SetLobbyType	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_BActivationSuccess	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_BIsCurrentMusicRemote	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_CurrentEntryDidChange	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_CurrentEntryIsAvailable	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_CurrentEntryWillChange	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_DeregisterSteamMusicRemote	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_EnableLooped	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_EnablePlayNext	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_EnablePlayPrevious	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_EnablePlaylists	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_EnableQueue	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_EnableShuffled	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_PlaylistDidChange	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_PlaylistWillChange	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_QueueDidChange	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_QueueWillChange	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_RegisterSteamMusicRemote	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_ResetPlaylistEntries	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_ResetQueueEntries	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_SetCurrentPlaylistEntry	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_SetCurrentQueueEntry	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_SetDisplayName	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_SetPNGIcon_64x64	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_SetPlaylistEntry	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_SetQueueEntry	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_UpdateCurrentEntryCoverArt	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_UpdateCurrentEntryElapsedSeconds	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_UpdateCurrentEntryText	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_UpdateLooped	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_UpdatePlaybackStatus	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_UpdateShuffled	bool	u64
steam_api	SteamAPI_ISteamMusicRemote_UpdateVolume	bool	u64
steam_api	SteamAPI_ISteamMusic_BIsEnabled	bool	u64
steam_api	SteamAPI_ISteamMusic_BIsPlaying	bool	u64
steam_api	SteamAPI_ISteamMusic_GetPlaybackStatus	AudioPlayback_Status	u64
steam_api	SteamAPI_ISteamMusic_GetVolume	float	f32
steam_api	SteamAPI_ISteamMusic_Pause	void	void
steam_api	SteamAPI_ISteamMusic_Play	void	void
steam_api	SteamAPI_ISteamMusic_PlayNext	void	void
steam_api	SteamAPI_ISteamMusic_PlayPrevious	void	void
steam_api	SteamAPI_ISteamMusic_SetVolume	void	void
steam_api	SteamAPI_ISteamNetworkingConnectionSignaling_Release	void	void
steam_api	SteamAPI_ISteamNetworkingConnectionSignaling_SendSignal	bool	u64
steam_api	SteamAPI_ISteamNetworkingMessages_AcceptSessionWithUser	bool	u64
steam_api	SteamAPI_ISteamNetworkingMessages_CloseChannelWithUser	bool	u64
steam_api	SteamAPI_ISteamNetworkingMessages_CloseSessionWithUser	bool	u64
steam_api	SteamAPI_ISteamNetworkingMessages_GetSessionConnectionInfo	ESteamNetworkingConnectionState	u64
steam_api	SteamAPI_ISteamNetworkingMessages_ReceiveMessagesOnChannel	int	u64
steam_api	SteamAPI_ISteamNetworkingMessages_SendMessageToUser	EResult	u64
steam_api	SteamAPI_ISteamNetworkingSignalingRecvContext_OnConnectRequest	IntPtr	u64
steam_api	SteamAPI_ISteamNetworkingSignalingRecvContext_SendRejectionSignal	void	void
steam_api	SteamAPI_ISteamNetworkingSockets_AcceptConnection	EResult	u64
steam_api	SteamAPI_ISteamNetworkingSockets_BeginAsyncRequestFakeIP	bool	u64
steam_api	SteamAPI_ISteamNetworkingSockets_CloseConnection	bool	u64
steam_api	SteamAPI_ISteamNetworkingSockets_CloseListenSocket	bool	u64
steam_api	SteamAPI_ISteamNetworkingSockets_ConfigureConnectionLanes	EResult	u64
steam_api	SteamAPI_ISteamNetworkingSockets_ConnectByIPAddress	uint	u64
steam_api	SteamAPI_ISteamNetworkingSockets_ConnectP2P	uint	u64
steam_api	SteamAPI_ISteamNetworkingSockets_ConnectP2PCustomSignaling	uint	u64
steam_api	SteamAPI_ISteamNetworkingSockets_ConnectToHostedDedicatedServer	uint	u64
steam_api	SteamAPI_ISteamNetworkingSockets_CreateFakeUDPPort	IntPtr	u64
steam_api	SteamAPI_ISteamNetworkingSockets_CreateHostedDedicatedServerListenSocket	uint	u64
steam_api	SteamAPI_ISteamNetworkingSockets_CreateListenSocketIP	uint	u64
steam_api	SteamAPI_ISteamNetworkingSockets_CreateListenSocketP2P	uint	u64
steam_api	SteamAPI_ISteamNetworkingSockets_CreateListenSocketP2PFakeIP	uint	u64
steam_api	SteamAPI_ISteamNetworkingSockets_CreatePollGroup	uint	u64
steam_api	SteamAPI_ISteamNetworkingSockets_CreateSocketPair	bool	u64
steam_api	SteamAPI_ISteamNetworkingSockets_DestroyPollGroup	bool	u64
steam_api	SteamAPI_ISteamNetworkingSockets_FindRelayAuthTicketForServer	int	u64
steam_api	SteamAPI_ISteamNetworkingSockets_FlushMessagesOnConnection	EResult	u64
steam_api	SteamAPI_ISteamNetworkingSockets_GetAuthenticationStatus	ESteamNetworkingAvailability	u64
steam_api	SteamAPI_ISteamNetworkingSockets_GetCertificateRequest	bool	u64
steam_api	SteamAPI_ISteamNetworkingSockets_GetConnectionInfo	bool	u64
steam_api	SteamAPI_ISteamNetworkingSockets_GetConnectionName	bool	u64
steam_api	SteamAPI_ISteamNetworkingSockets_GetConnectionRealTimeStatus	EResult	u64
steam_api	SteamAPI_ISteamNetworkingSockets_GetConnectionUserData	long	u64
steam_api	SteamAPI_ISteamNetworkingSockets_GetDetailedConnectionStatus	int	u64
steam_api	SteamAPI_ISteamNetworkingSockets_GetFakeIP	void	void
steam_api	SteamAPI_ISteamNetworkingSockets_GetGameCoordinatorServerLogin	EResult	u64
steam_api	SteamAPI_ISteamNetworkingSockets_GetHostedDedicatedServerAddress	EResult	u64
steam_api	SteamAPI_ISteamNetworkingSockets_GetHostedDedicatedServerPOPID	uint	u64
steam_api	SteamAPI_ISteamNetworkingSockets_GetHostedDedicatedServerPort	ushort	u64
steam_api	SteamAPI_ISteamNetworkingSockets_GetIdentity	bool	u64
steam_api	SteamAPI_ISteamNetworkingSockets_GetListenSocketAddress	bool	u64
steam_api	SteamAPI_ISteamNetworkingSockets_GetRemoteFakeIPForConnection	EResult	u64
steam_api	SteamAPI_ISteamNetworkingSockets_InitAuthentication	ESteamNetworkingAvailability	u64
steam_api	SteamAPI_ISteamNetworkingSockets_ReceiveMessagesOnConnection	int	u64
steam_api	SteamAPI_ISteamNetworkingSockets_ReceiveMessagesOnPollGroup	int	u64
steam_api	SteamAPI_ISteamNetworkingSockets_ReceivedP2PCustomSignal	bool	u64
steam_api	SteamAPI_ISteamNetworkingSockets_ReceivedRelayAuthTicket	bool	u64
steam_api	SteamAPI_ISteamNetworkingSockets_ResetIdentity	void	void
steam_api	SteamAPI_ISteamNetworkingSockets_RunCallbacks	void	void
steam_api	SteamAPI_ISteamNetworkingSockets_SendMessageToConnection	EResult	u64
steam_api	SteamAPI_ISteamNetworkingSockets_SendMessages	void	void
steam_api	SteamAPI_ISteamNetworkingSockets_SetCertificate	bool	u64
steam_api	SteamAPI_ISteamNetworkingSockets_SetConnectionName	void	void
steam_api	SteamAPI_ISteamNetworkingSockets_SetConnectionPollGroup	bool	u64
steam_api	SteamAPI_ISteamNetworkingSockets_SetConnectionUserData	bool	u64
steam_api	SteamAPI_ISteamNetworkingUtils_AllocateMessage	IntPtr	u64
steam_api	SteamAPI_ISteamNetworkingUtils_CheckPingDataUpToDate	bool	u64
steam_api	SteamAPI_ISteamNetworkingUtils_ConvertPingLocationToString	void	void
steam_api	SteamAPI_ISteamNetworkingUtils_EstimatePingTimeBetweenTwoLocations	int	u64
steam_api	SteamAPI_ISteamNetworkingUtils_EstimatePingTimeFromLocalHost	int	u64
steam_api	SteamAPI_ISteamNetworkingUtils_GetConfigValue	ESteamNetworkingGetConfigValueResult	u64
steam_api	SteamAPI_ISteamNetworkingUtils_GetConfigValueInfo	IntPtr	u64
steam_api	SteamAPI_ISteamNetworkingUtils_GetDirectPingToPOP	int	u64
steam_api	SteamAPI_ISteamNetworkingUtils_GetIPv4FakeIPType	ESteamNetworkingFakeIPType	u64
steam_api	SteamAPI_ISteamNetworkingUtils_GetLocalPingLocation	float	f32
steam_api	SteamAPI_ISteamNetworkingUtils_GetLocalTimestamp	long	u64
steam_api	SteamAPI_ISteamNetworkingUtils_GetPOPCount	int	u64
steam_api	SteamAPI_ISteamNetworkingUtils_GetPOPList	int	u64
steam_api	SteamAPI_ISteamNetworkingUtils_GetPingToDataCenter	int	u64
steam_api	SteamAPI_ISteamNetworkingUtils_GetRealIdentityForFakeIP	EResult	u64
